ind,UC,NGI,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Indigena_isolado,Total_prevencao,Total_combate,Area_total,Area_UC,Perc_AAF_UC
40,FLONA DE JACUNDA,Nucleo de Gestao Integrada - ICMBio Cunia-Jacunda,347.4811348,0,0,0,0,0,0,347.4811348,347.4811348,220820.562,0.16
41,FLONA DE RORAIMA,Nucleo de Gestao Integrada - ICMBio Roraima,127.030179,0,0,0,0,0,0,127.030179,127.030179,169568.891,0.07
42,FLONA DE SANTA ROSA DO PURUS,Nucleo de Gestao Integrada - ICMBio Alto Tarauaca-Santa Rosa,96.23633737,0,0,0,0,0,0,96.23633737,96.23633737,231553.469,0.04
43,FLONA DE SARACA-TAQUERA,Nucleo de Gestao Integrada - ICMBio Trombetas,0.695380057,0,0,0,0,0,0,0.695380057,0.695380057,441114.375,0
44,FLONA DE URUPADI,Nucleo de Gestao Integrada - ICMBio Humaita,117.8031647,0,0,0,0,0,0,117.8031647,117.8031647,537505.5,0.02
45,FLONA DO AMAZONAS,Nucleo de Gestao Integrada - ICMBio Pico da Neblina,8.516145071,0,0,0,0,0,0,8.516145071,8.516145071,1942317.75,0
46,FLONA DO ARIPUANA,Nucleo de Gestao Integrada - ICMBio Humaita,2135.557241,0,0,0,0,0,0,2135.557241,2135.557241,750971.375,0.28
47,FLONA DO BOM FUTURO,Nucleo de Gestao Integrada - ICMBio Porto Velho,3652.183218,0,0,0,0,0,0,3652.183218,3652.183218,98349.9922,3.71
48,FLONA DO CREPORI,UNA Itaituba,137.3798821,0,0,0,0,0,0,137.3798821,137.3798821,740391,0.02
49,FLONA DO ITACAIUNAS,Nucleo de Gestao Integrada - ICMBio Carajas,35.18142152,0,0,0,0,0,0,35.18142152,35.18142152,54264.8008,0.06
50,FLONA DO JAMANXIM,UNA Itaituba,2112.20021,0,0,0,0,0,0,2112.20021,2112.20021,1301564.88,0.16
